transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score,is_fraud,ml_risk_score,ml_risk_band
9608,363,4922.5875423114285,ATM,Travel,TR,12,0.9923465237053082,0.9479076765522912,1,100.0,Severe
456,692,48.01830285876102,QR,Food,US,21,0.1685712394374171,0.2240574034911916,0,0.23,Low
4747,587,136.88196000299405,Online,Travel,TR,14,0.2961272487947395,0.125057692410153,0,0.66,Low
6934,445,80.53471896232148,POS,Clothing,TR,23,0.1248009783678277,0.1592425051585693,0,0.13,Low
1646,729,120.04115818676428,Online,Grocery,FR,16,0.0981289537116425,0.0275419692238968,0,0.05,Low
2183,944,97.10862458470542,POS,Clothing,DE,17,0.2353994323859285,0.1054540510901703,0,0.26,Low
1919,829,166.2092618572779,Online,Travel,UK,12,0.1159059086426822,0.2237178434100433,0,0.44,Low
3479,845,96.51263663096326,Online,Grocery,US,7,0.0822504332864774,0.0340230101334718,0,0.07,Low
6796,129,83.33870063187989,QR,Food,DE,16,0.0217744413637976,0.2795975065334214,0,0.16,Low
5129,249,89.69573134806983,QR,Grocery,UK,6,0.0953534371726979,0.1363364134083345,0,0.21,Low
7402,701,101.40382672472744,QR,Travel,FR,7,0.1647939348194068,0.2919396246385753,0,0.96,Low
6188,116,106.56344355857529,QR,Food,DE,23,0.1362359685879872,0.1358305529043107,0,0.09,Low
8538,679,55.36360144813594,Online,Food,US,10,0.0743042636671988,0.1287602546987983,0,0.1,Low
8410,559,99.41209708030595,Online,Food,DE,10,0.0847735516439609,0.0143336886378726,0,0.05,Low
8201,564,94.5456051441663,ATM,Clothing,TR,20,0.1334897274000259,0.1620098344857201,0,0.23,Low
2187,336,133.4106627218069,POS,Food,UK,19,0.0831321636519302,0.2860201892035907,0,0.29,Low
5666,166,157.99812334207053,QR,Electronics,FR,19,0.2075330047227872,0.0199616572212608,0,0.09,Low
1419,288,202.99589542072368,QR,Grocery,TR,23,0.1565442993059684,0.082757566529072,0,0.11,Low
6484,984,88.50981483421131,QR,Travel,UK,19,0.1478030297898635,0.2064802039083664,0,0.26,Low
2480,137,115.30655945024978,Online,Food,FR,14,0.2063843780465729,0.0687663533155056,0,0.16,Low
2818,893,63.99286999198463,QR,Travel,FR,12,0.0437436214939283,0.2228466120955162,0,0.15,Low
8826,620,113.30575124310728,ATM,Clothing,TR,9,0.1421629827225529,0.0348855433222775,0,0.18,Low
8257,600,131.96349737388977,Online,Clothing,FR,18,0.0398973274519932,0.0445114423769753,0,0.04,Low
9933,121,4284.177966789535,ATM,Food,TR,12,0.7378542343081798,0.7310706966099291,1,100.0,Severe
9035,358,76.69547978824451,POS,Grocery,TR,7,0.0939759661489337,0.1849988394372379,0,0.24,Low
7468,688,138.64170246332006,POS,Electronics,TR,17,0.1080456294773054,0.2096710067601381,0,0.2,Low
464,832,133.26357531450472,Online,Travel,DE,15,0.0574340876624322,0.0921888214610705,0,0.06,Low
599,155,17.551208105434853,POS,Electronics,FR,7,0.0124694195551514,0.1750715829203944,0,0.08,Low
3094,200,1.0,POS,Food,US,9,0.1065835523374569,0.1804650349623928,0,0.16,Low
